,precision,recall,f1-score,support
Closed (0),0.9996660329548753,0.999405020368315,0.999535509621788,199463971.0
Open (1),0.740941566308455,0.8359796960315643,0.785596744964346,406029.0
accuracy,0.9990730274678541,0.9990730274678541,0.9990730274678541,0.9990730274678541
macro avg,0.8703037996316652,0.9176923581999397,0.892566127293067,199870000.0
weighted avg,0.9991404431391552,0.9990730274678541,0.9991009004124265,199870000.0
