epoch,train_loss,val_loss,acc,f1,prec,rec
1,0.04135565172948916,0.04732202718669708,0.995454789495308,0.47048140510309017,0.30861092489424163,0.989472956046318
2,0.041219065701200534,0.03802088958702173,0.995909187024347,0.4974422976274902,0.33193885108549737,0.992099158281184
3,0.04139499657720321,0.03772137213458646,0.9960406692846857,0.5055008853302169,0.33920484458833083,0.991669281339635
4,0.040968051966427395,0.037036153153956745,0.9950696295091668,0.45146590620982413,0.29203763948444905,0.9942361902032527
5,0.04094858063316476,0.04112449430593455,0.9963906281840642,0.5283200364743964,0.36022677244588996,0.990535295614514
6,0.04139437334788652,0.04272465382309183,0.9961732153418316,0.5138250500889046,0.34683347500166456,0.9909355258704391
7,0.04108652082757151,0.037559982924361156,0.9958044912684441,0.491105570629823,0.3263281510317196,0.9920201004528532
8,0.040566638940189616,0.039063466174975615,0.9963103695045776,0.5230297760959592,0.3552269884228335,0.9913036388836046
9,0.04074954979286343,0.03454449990323868,0.9957712816496377,0.4894226016406655,0.3247214617994945,0.99316149784938
10,0.04034438413131265,0.0376017439592442,0.9956820235516647,0.48399111682008183,0.3200448765297821,0.9923140967519586
11,0.040593486535705936,0.038919760386257385,0.9956574553912816,0.48262589312261794,0.3188308606565834,0.9925191529941917
12,0.04078124973369856,0.038924703817605225,0.9960729562740338,0.5074092812061268,0.34099055412994383,0.9911208176555895
13,0.04080244719749848,0.038628229248705646,0.9961461515443892,0.512235026864224,0.345303960088543,0.991612458525522
14,0.040872704221948775,0.034936770195747875,0.9960916105308402,0.5089492260642409,0.34221755030381196,0.9925092707656503
15,0.04129018224913006,0.03823940455552566,0.996177500779206,0.5142587329614035,0.3471539251328387,0.9915457534828679
16,0.0412441241675897,0.037526744949385925,0.9963151439859818,0.5232414858843336,0.35547921286669754,0.9908614091563789
17,0.04181156530085364,0.039213206958343357,0.9966174891552848,0.5443538309409195,0.3753630586373066,0.990105418672965
18,0.04143795057113508,0.04074233570794914,0.9964836524252356,0.5343010716789638,0.36609408326417375,0.9884649687350995
19,0.041376251385271436,0.04285933681025509,0.9964931207209876,0.5353055691767891,0.3668553282317488,0.9897916579167768
20,0.041193084618527755,0.03485266248291257,0.9959358676532711,0.49910241648496473,0.33340804978440153,0.9921955100094623
21,0.04145982390407625,0.035998827073896345,0.9959818630005264,0.5018962120757584,0.335929689232095,0.991990453767229
22,0.04112470510482794,0.049550416839197135,0.9966127197155716,0.5433360838812905,0.3747781200331941,0.9874421580810688
23,0.040817798947106444,0.040547648957811384,0.9961488589324716,0.5121851688412706,0.3453671997188902,0.9907181168425292
24,0.0411952775685628,0.042980771032595184,0.9968089171219553,0.558711956154191,0.38918654301177624,0.9899028329878671
25,0.04145591780249571,0.038312037635591,0.9965264866322159,0.5379916095770991,0.36921203508284267,0.9910219953701759
26,0.04083509331597678,0.03964261575818582,0.9963573076480552,0.5259237582067733,0.3580572850915634,0.9901153009015063
27,0.04178718630163396,0.03497954630861492,0.9957907072851715,0.49046564979137025,0.3256863854392429,0.9927340914649663
28,0.04163476120654287,0.045940135822671126,0.9970446010524762,0.5768691062591311,0.40749295585054474,0.9872049845960763
29,0.04162240786764722,0.040876057465080634,0.9966035791297365,0.5433710317527563,0.3744089420459619,0.9902462404296793
