,precision,recall,f1-score,support
Closed (0),0.999548825341185,0.9994161348770657,0.9994824757051564,5920888.0
Open (1),0.26415495955725843,0.31722903885480574,0.28826945412311267,3912.0
accuracy,0.9989657034836619,0.9989657034836619,0.9989657034836619,0.9989657034836619
macro avg,0.6318518924492218,0.6583225868659357,0.6438759649141346,5924800.0
weighted avg,0.9990632628238094,0.9989657034836619,0.9990128792056241,5924800.0
