Epoch,Train_Loss,Val_Loss,Val_Accuracy
1,0.2266491228878356,0.00019261662045640774,100.0
2,0.00032595424713459365,3.236993430427423e-05,100.0
3,9.876319491321722e-05,9.005447365875865e-06,100.0
4,3.702529898542337e-05,2.1871364968941826e-06,100.0
5,1.2555509000327544e-05,5.469634839085446e-07,100.0
6,5.4486232815809484e-06,1.9663507238850512e-07,100.0
7,2.907870138969556e-06,9.976973315342787e-08,100.0
8,1.861715505652267e-06,5.170935011172536e-08,100.0
9,1.2496599639081585e-06,3.2026755002409336e-08,100.0
10,8.98927242763386e-07,2.0275600298129343e-08,100.0
11,6.67509202388687e-07,1.3731066354114469e-08,100.0
12,5.138668423413241e-07,9.590450895424177e-09,100.0
13,4.0606374206799726e-07,7.1063067711020866e-09,100.0
14,3.277750318151513e-07,5.293595386596532e-09,100.0
15,2.6872674319958446e-07,4.0698558872424776e-09,100.0
16,2.2434719438594e-07,3.1679403661736448e-09,100.0
17,1.8966875622143735e-07,2.4769776390805955e-09,100.0
18,1.615334525197335e-07,1.9920113906344176e-09,100.0
19,1.3941838387708493e-07,1.6233323314959601e-09,100.0
20,1.2067385976823734e-07,1.3378023531798878e-09,100.0
21,1.0555650319858126e-07,1.08832838775409e-09,100.0
22,9.296867165132225e-08,8.934257283983324e-10,100.0
23,8.204666271181374e-08,7.544407236038932e-10,100.0
24,7.304166408746969e-08,6.398454907291305e-10,100.0
25,6.516735879738226e-08,5.497194979921604e-10,100.0
26,5.8506299479321354e-08,4.697207593644904e-10,100.0
27,5.262993500896657e-08,4.0594471643822473e-10,100.0
28,4.755700497811712e-08,3.5245261095627115e-10,100.0
29,4.312158171404136e-08,3.0678556186664333e-10,100.0
30,3.921134957595897e-08,2.690955294850171e-10,100.0
31,3.580311118106057e-08,2.3392587866766235e-10,100.0
32,3.271715554596349e-08,2.0627944381863315e-10,100.0
33,2.997911136569081e-08,1.835530119711025e-10,100.0
34,2.7567824191052036e-08,1.6245419045078866e-10,100.0
35,2.5396124880086063e-08,1.4416833516468849e-10,100.0
36,2.3423466384023497e-08,1.28865111564081e-10,100.0
37,2.164879207209276e-08,1.1608426062509044e-10,100.0
38,2.008041943082388e-08,1.0327194508909013e-10,100.0
39,1.8618842734523786e-08,9.30234296025427e-11,100.0
40,1.7285018409523087e-08,8.413573054629577e-11,100.0
41,1.611588210245339e-08,7.516607511853498e-11,100.0
42,1.4997844693095717e-08,6.742957654226027e-11,100.0
43,1.4021374931173333e-08,6.052340354036432e-11,100.0
44,1.3085924338244614e-08,5.543136125546174e-11,100.0
45,1.224504552086786e-08,5.153019312423436e-11,100.0
46,1.1472616061254871e-08,4.845011599521448e-11,100.0
47,1.0767666314372831e-08,4.583721121962837e-11,100.0
48,1.0099603119919115e-08,4.3540420538007734e-11,100.0
49,9.500872007913474e-09,4.1027733841870807e-11,100.0
50,8.93114048394949e-09,3.8582320087337205e-11,100.0
51,8.413019193962761e-09,3.54885273215039e-11,100.0
52,7.927326838513732e-09,3.135525063275623e-11,100.0
53,7.467606108691658e-09,2.7663571360537237e-11,100.0
54,7.049662588033431e-09,2.2908843316501274e-11,100.0
55,6.652765946304145e-09,1.8805694574674486e-11,100.0
56,6.283225975646441e-09,1.4998338645605696e-11,100.0
57,5.945143093688167e-09,1.1279671093354868e-11,100.0
58,5.622582765076163e-09,8.351782533099731e-12,100.0
59,5.322499919321736e-09,6.254573613414936e-12,100.0
60,5.0449999976220905e-09,4.26249770129295e-12,100.0
61,4.784232877845565e-09,2.9212395021235704e-12,100.0
62,4.5358354207651845e-09,1.91191077954891e-12,100.0
63,4.308118835196634e-09,1.2599314181507398e-12,100.0
64,4.096781311657482e-09,6.955953768028015e-13,100.0
65,3.890126019246864e-09,5.053132163432722e-13,100.0
66,3.701267612054603e-09,2.9357648667700284e-13,100.0
67,3.5206134563338826e-09,1.7935358587663756e-13,100.0
68,3.3514608480489715e-09,8.677806787008883e-14,100.0
69,3.1937298187328353e-09,5.41799731535619e-14,100.0
70,3.0429484204788484e-09,1.63467340649348e-14,100.0
71,2.9019049862905906e-09,0.0,100.0
72,2.7661722146257986e-09,0.0,100.0
73,2.6393171495853876e-09,0.0,100.0
74,2.5182829050891375e-09,0.0,100.0
75,2.4041088360249365e-09,0.0,100.0
76,2.2960803862602148e-09,0.0,100.0
77,2.1940316288685527e-09,0.0,100.0
78,2.0961114275559014e-09,0.0,100.0
79,2.0044413887644163e-09,0.0,100.0
80,1.915880979287805e-09,0.0,100.0
81,1.8349075404109876e-09,0.0,100.0
82,1.7537188198810257e-09,0.0,100.0
83,1.6798639278108394e-09,0.0,100.0
84,1.6078978111290992e-09,0.0,100.0
85,1.5404573586598587e-09,0.0,100.0
86,1.4744225388630226e-09,0.0,100.0
87,1.4137573070795844e-09,0.0,100.0
88,1.3549070603698676e-09,0.0,100.0
89,1.2984142762845114e-09,0.0,100.0
90,1.2459513910243433e-09,0.0,100.0
91,1.1965736913551682e-09,0.0,100.0
92,1.1468075641660898e-09,0.0,100.0
93,1.1006332568505537e-09,0.0,100.0
94,1.0573647494295066e-09,0.0,100.0
95,1.0159228750152698e-09,0.0,100.0
96,9.748282745996678e-10,0.0,100.0
97,9.366619344548634e-10,0.0,100.0
98,9.000215864487364e-10,0.0,100.0
99,8.657891597625723e-10,0.0,100.0
100,8.329441373921355e-10,0.0,100.0
