Category,Vars (Mean ± SD),Rows (Mean ± SD),NNZ (Mean ± SD),Time Mean ± SD,"Time Range [Min, Max]",Time 95% CI,Gap Mean ± SD,"Gap Range [Min, Max]",Gap 95% CI
Easy (N=430),160400.0 ± 0.0,800.0 ± 0.0,320400.0 ± 0.0,6.49s ± 3.09s,"[0.22s, 11.18s]",± 0.292s,2.87% ± 10.49%,"[0.00%, 45.02%]",± 0.992%
Medium (N=399),1281600.0 ± 0.0,2400.0 ± 0.0,2561600.0 ± 0.0,57.27s ± 20.39s,"[22.32s, 90.47s]",± 2.001s,0.00% ± 0.00%,"[0.00%, 0.00%]",± 0.000%
Hard (N=399),5123200.0 ± 0.0,4800.0 ± 0.0,10243200.0 ± 0.0,255.41s ± 88.79s,"[96.59s, 403.51s]",± 8.712s,0.00% ± 0.00%,"[0.00%, 0.00%]",± 0.000%
