Category,Vars (Mean ± SD),Rows (Mean ± SD),NNZ (Mean ± SD),Time Mean ± SD,"Time Range [Min, Max]",Time 95% CI,Gap Mean ± SD,"Gap Range [Min, Max]",Gap 95% CI
CFL_easy_instance (N=6579),160400.0 ± 0.0,800.0 ± 0.0,320400.0 ± 0.0,1784909869.90s ± 3067.58s,"[1784904445.95s, 1784915005.90s]",± 74.132s,0.74% ± 1.41%,"[0.00%, 9.93%]",± 0.034%
CFL_medium_instance (N=307),1281600.0 ± 0.0,2400.0 ± 0.0,2561600.0 ± 0.0,1785132010.13s ± 13072.90s,"[1785110056.01s, 1785154445.70s]",± 1464.763s,79.20% ± 6.96%,"[56.54%, 85.00%]",± 0.780%
