category,instance,complexity,presolve,runtime_sec,status,n_incumbents,n_vars,best_obj,worst_obj,pct_ones
CFL_easy_instance,CFL_easy_instance_0,easy,0,398.10509181022644,2,243,160400,6.130863210247613,1226.4432463521212,0.4014962593516209
CFL_easy_instance,CFL_easy_instance_1,easy,0,295.20424485206604,2,247,160400,5.74839266670663,1353.1856973332287,0.40336658354114713
CFL_easy_instance,CFL_easy_instance_10,easy,0,278.388884305954,2,254,160400,4.865087116077255,1229.0925612215556,0.40399002493765584
CFL_easy_instance,CFL_easy_instance_11,easy,0,452.66460847854614,2,396,160400,5.492961638497635,1327.7842404710743,0.41084788029925184
CFL_easy_instance,CFL_easy_instance_12,easy,0,397.20423460006714,2,295,160400,5.879469860387231,1286.808952857766,0.4077306733167082
CFL_easy_instance,CFL_easy_instance_13,easy,0,333.58963918685913,2,255,160400,5.707430271338021,1306.3401270442087,0.40399002493765584
CFL_easy_instance,CFL_easy_instance_14,easy,0,305.9943673610687,2,301,160400,5.256041651637308,1238.6700177637608,0.40399002493765584
CFL_easy_instance,CFL_easy_instance_15,easy,0,324.3743095397949,2,300,160400,5.0438232736982025,1202.9381112978078,0.40586034912718205
CFL_easy_instance,CFL_easy_instance_16,easy,0,272.60535740852356,2,233,160400,4.446785573827579,1287.04936659083,0.4021197007481297
CFL_easy_instance,CFL_easy_instance_17,easy,0,320.5771920681,2,264,160400,5.109543784909757,1371.2620699389372,0.4096009975062344
CFL_easy_instance,CFL_easy_instance_18,easy,0,322.97228932380676,2,259,160400,5.125895820586324,1273.9236143851554,0.41209476309226933
CFL_easy_instance,CFL_easy_instance_19,easy,0,299.527615070343,2,203,160400,5.383310644430981,1263.9903222451578,0.4027431421446384
CFL_easy_instance,CFL_easy_instance_2,easy,0,755.8743679523468,2,438,160400,6.4574785319594525,1316.0302267198547,0.4102244389027431
CFL_easy_instance,CFL_easy_instance_20,easy,0,351.20700550079346,2,251,160400,5.043556545914448,1222.3986051590382,0.40648379052369077
