,precision,recall,f1-score,support
Cerrar (0),8.368062341692532e-07,0.5,1.6736096673644998e-06,18.0
Abrir (1),0.9999993948368285,0.5803218239133745,0.7344348298796194,25627182.0
accuracy,0.5803217674970343,0.5803217674970343,0.5803217674970343,0.5803217674970343
macro avg,0.5000001158215314,0.5401609119566873,0.3672182517446434,25627200.0
weighted avg,0.9999986924591188,0.5803217674970343,0.7344343140293974,25627200.0
