epoch,train_loss,val_loss,acc,f1,prec,rec
1,1.9367634455362956,1.1049310366312664,0.9977730244457078,0.16405249679897568,0.10939945922868934,0.32782515991471217
2,1.8214893341064453,1.0751427014668782,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
3,1.7591346104939778,1.0217727025349934,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
4,1.6452309290568035,0.9596972465515137,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
5,1.5698285102844238,0.9001123905181885,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
6,1.5537341435750325,0.8595871925354004,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
7,1.451807975769043,0.8309354782104492,0.9977819073337123,0.1646013435751947,0.10988814637458456,0.32782515991471217
8,1.4586633046468098,0.8149523735046387,0.9977576748152359,0.16337893732103087,0.10873094297007341,0.3284648187633262
9,1.4287710189819336,0.7998362382253011,0.9952877345082434,0.09241339665767898,0.053012577925034936,0.3599147121535181
10,1.4241164525349934,0.7771837711334229,0.9977801307561114,0.16458065896448437,0.10984578037983721,0.32803837953091686
11,1.3409520785013835,0.747961680094401,0.9970127202956225,0.13587682693691286,0.08416736700028013,0.3523454157782516
12,1.2838397820790608,0.7122947374979655,0.9909633314383173,0.05963262046321767,0.032038649799758435,0.4298507462686567
13,1.2575445175170898,0.7121121883392334,0.9230423536100056,0.011569662584974405,0.00583478481814399,0.6756929637526653
14,1.24205215771993,0.6809953053792318,0.9965347498578738,0.1295585583977437,0.07780707960807015,0.3868869936034115
15,1.248296896616618,0.6742055416107178,0.9615741898806139,0.020416740640364642,0.010384837952297934,0.6007462686567164
16,1.2025362650553386,0.6533531347910563,0.9901118533257532,0.061738884168790704,0.03295374382747153,0.4880597014925373
17,1.1681396961212158,0.6420032580693563,0.992445281409892,0.0786417527560147,0.04280027168786084,0.48368869936034115
18,1.133030891418457,0.6237727403640747,0.9756076606026152,0.03152183420282659,0.016189380392475097,0.5955223880597015
19,1.0873204072316487,0.6164666016896566,0.9293351335986356,0.014747146480659478,0.007442744274427443,0.7933901918976546
20,1.0486637751261394,0.6821277936299642,0.745519613416714,0.005211389051860545,0.0026125019078505405,1.0
21,1.0448195934295654,0.7816025416056315,0.5911943575895395,0.0032504700273223146,0.0016278807023767231,1.0
22,1.1545085112253826,0.5680250326792399,0.9962918561682774,0.14974499356373533,0.08838068127175858,0.4898720682302772
23,1.0820761521657307,0.5666802724202474,0.9769391699829448,0.0363987291029486,0.018720791716301657,0.6534115138592751
24,1.0221872329711914,0.6474613348642985,0.7494279420125071,0.005292244154129559,0.002653142616315413,1.0
25,1.0109109083811443,0.6849358876546224,0.9985793064241046,0.23560449644413858,0.18367711935137712,0.3284648187633262
26,0.9790681203206381,1.0610130627950032,0.34058513359863557,0.002017628219950729,0.0010098328435967016,1.0
27,0.9728154341379801,0.5431904792785645,0.9955311256395679,0.13627623338094716,0.07821466860061803,0.5288912579957356
28,0.919835646947225,0.5793194770812988,0.9984898379761228,0.24344049271956994,0.1827462718477738,0.36449893390191895
29,0.8932232856750488,0.5202891826629639,0.9695316941444002,0.033454315922360735,0.017088505561824924,0.7910447761194029
30,0.8845351537068685,0.5396140019098917,0.997748152359295,0.21533280507131536,0.14023996903625338,0.46353944562899785
31,0.8733962376912435,0.759371836980184,0.9986389283683911,0.24305418329842313,0.1931168749607486,0.32782515991471217
32,0.8914001782735189,0.537064790725708,0.9982677657760091,0.24476391126533648,0.17251921733053807,0.4211087420042644
33,0.8633685111999512,0.4847397406895955,0.9822466600341103,0.05474227467242795,0.02837830946244405,0.7712153518123668
34,0.9514001210530599,0.6268980900446574,0.7010510943718021,0.004439638780008089,0.0022247579508413878,1.0
35,1.03650697072347,0.573246955871582,0.7605592666287664,0.005536912256468831,0.0027761417548885846,1.0
36,0.9690966606140137,0.5587236483891805,0.9986088686753838,0.257978925024638,0.2001529231855076,0.3627931769722815
37,0.9321686426798502,0.5674394766489664,0.9986402075042637,0.2577291593933046,0.2025733276419294,0.35415778251599145
38,0.9607257048288981,0.5137115319569906,0.9981652927799887,0.24588152821591305,0.16933537174122948,0.44872068230277184
39,0.9166101614634196,0.7464822133382162,0.5878646958499147,0.0032242939896135114,0.0016147502095043716,1.0
40,0.757006565729777,0.44329118728637695,0.991292922114838,0.1021499860771181,0.054844750798671765,0.7430703624733476
41,0.79470427831014,0.5284376939137777,0.7594456367254122,0.005511420774354619,0.002763325311441198,1.0
42,0.7319575150807699,0.40973206361134845,0.9787305287094941,0.05335669599650824,0.02749401878785113,0.8992537313432836
43,0.6803326606750488,0.4278186559677124,0.9959723564525298,0.18168955111823393,0.10507506554666755,0.6707889125799573
44,0.7855566342671713,0.39269200960795086,0.9610618249005116,0.03185350356735211,0.016195161214978458,0.9609808102345416
45,0.7524681091308594,0.3897700309753418,0.9539426520750426,0.027433932422070196,0.013912797307848607,0.9745202558635394
46,0.7136484781901041,0.40207934379577637,0.9927956935758954,0.12597529118638515,0.06852951384003526,0.7788912579957356
47,0.7501395543416342,0.39337750275929767,0.9901383598635588,0.10149628680017352,0.054029461842295734,0.8356076759061833
48,0.7602887153625488,0.3850843509038289,0.9843420267197271,0.07068777177465953,0.036799740030476154,0.8933901918976546
49,0.7198479175567627,0.39289939403533936,0.9024896958499147,0.01347324224156215,0.006782360073107617,0.9989339019189766
50,0.7098350524902344,0.4062109390894572,0.9958068504832291,0.18210800620980258,0.10466190810018482,0.700319829424307
51,0.7064210573832194,0.4201616048812866,0.8446848351335986,0.00851042595226268,0.004273397191311974,1.0
52,0.7029052575429281,0.37307008107503253,0.9838381182490051,0.06969419310502806,0.03623749404478323,0.9082089552238806
53,0.7093851566314697,0.36626362800598145,0.9636841245025582,0.034389130011696085,0.017504813823801545,0.9701492537313433
54,0.7052658398946127,0.3659653663635254,0.9798630613985219,0.0580024267406878,0.02993463379484276,0.9300639658848614
55,0.686296304066976,0.3908631006876628,0.8752040221716885,0.010567445214760392,0.005311794642326133,0.9997867803837953
56,0.6928565502166748,0.4114352862040202,0.997029349061967,0.22045687645687645,0.13359701661204657,0.6301705756929638
57,0.6981637477874756,0.3571334679921468,0.9511176805002842,0.02627011876619056,0.013311814073595869,0.9892324093816631
58,0.7017111778259277,0.4623926480611165,0.9983187890847072,0.27076012576289993,0.1904431532390946,0.4682302771855011
59,0.6402992407480875,0.3676108916600545,0.8855005685048323,0.011506804941373943,0.005786702801164004,0.9997867803837953
60,0.7401634852091471,0.3373856544494629,0.9244684479818078,0.017318594838075022,0.008735049877265368,0.9985074626865672
61,0.950563907623291,0.4846516450246175,0.9984638999431495,0.27565176596742846,0.20100674420877723,0.4384861407249467
62,0.5415256023406982,0.3144609530766805,0.9810730528709494,0.06290901414397299,0.03252801630039295,0.9530916844349681
63,0.5908016761144003,0.40674789746602374,0.8094896958499147,0.006949123599201516,0.003486676472479603,1.0
64,0.6562179327011108,0.35746033986409503,0.9956574047754406,0.18284904323175055,0.10453648915187377,0.7288912579957356
65,0.6604414780934652,0.41602007548014325,0.7989725696418419,0.006587962289885793,0.0033048673155669115,1.0
66,0.6042593717575073,0.3437947432200114,0.9949095366685616,0.16762918462914977,0.0940674761016706,0.7689765458422175
67,0.5734583934148153,0.45744915803273517,0.998177870949403,0.26172583570873287,0.17928286852589642,0.48454157782515994
68,0.6602778434753418,0.5589164892832438,0.9986754548038659,0.2853966184871372,0.22283422139735376,0.39680170575692963
69,0.5495196978251139,0.32847591241200763,0.9943833854462762,0.15811506055538394,0.08783328007952569,0.7912579957356076
70,0.6403829654057821,0.35595035552978516,0.8320602615122229,0.00787570822600092,0.0039534221125267005,1.0
71,0.4885268211364746,0.33729712168375653,0.8447427515633883,0.00851357361336758,0.00427498450432056,1.0
72,0.5194175243377686,0.45778663953145343,0.9979167140420694,0.24734274711168167,0.16290158944876565,0.5135394456289979
73,0.6512411832809448,0.6881786982218424,0.9987718163729392,0.2886776145203112,0.2351008916001877,0.3738805970149254
74,0.5275393724441528,0.3054591417312622,0.9944136583285957,0.15659768043172723,0.0870602550490892,0.7780383795309168
75,0.7387989362080892,0.6383749643961588,0.6822598067083571,0.004178173719376393,0.002093460280050529,1.0
76,0.4811202685038249,0.23036142190297446,0.9775665861284821,0.054957325597755964,0.028272567385673054,0.9785714285714285
77,0.49921679496765137,0.31653592983881634,0.9951746020466175,0.17125770427778117,0.09669905588863621,0.7479744136460554
78,0.4210529327392578,0.23322258392969766,0.9865359579306424,0.08534159811532074,0.0446946865961449,0.9423240938166312
79,0.43073328336079914,0.21581198771794638,0.9749595650938033,0.04980085590164951,0.025546607203623114,0.9844349680170575
80,0.4887816508611043,0.8984758059183756,0.5959297896532121,0.003288438090069548,0.001646926953697825,1.0
81,0.842618465423584,0.3041267196337382,0.994841671404207,0.16365563646419024,0.09174288224047951,0.7571428571428571
82,0.3983498811721802,0.4707628885904948,0.9978347782831154,0.24125308165450607,0.1573902589596127,0.5164179104477612
83,0.3927294413248698,0.2068029244740804,0.9605606168277431,0.03260606208503791,0.01657401779496276,0.9971215351812367
84,0.38997797171274823,0.4161248604456584,0.9971224417282547,0.21596607741011095,0.1319469089360494,0.5945628997867803
85,0.3794714609781901,0.1987990140914917,0.985080088118249,0.07825197451893738,0.04080642133362638,0.9501066098081024
86,0.37958423296610516,0.4120748043060303,0.7934796048891416,0.006413861599396906,0.003217248292337427,1.0
87,0.5540140469868978,0.38302648067474365,0.9964303581580444,0.19450947692505055,0.11447283983239591,0.646588486140725
88,0.4234578212102254,0.1935891310373942,0.9547036668561683,0.028545737190233792,0.01447986888490321,0.9984008528784648
89,0.5068778196970621,0.31545637051264447,0.848953098351336,0.008747883914955533,0.004393159430608316,0.9998933901918976
90,0.3606698513031006,0.40231919288635254,0.8013391131324616,0.006665212197359641,0.0033437506907470905,0.9998933901918976
91,0.3660818735758464,0.518333633740743,0.9974657475838544,0.21944493083523026,0.1380687451801256,0.5344349680170576
92,0.43034736315409344,0.6404587825139364,0.9980941586128482,0.24667846408808738,0.16746119522520117,0.46812366737739874
93,0.5140296618143717,0.24409260352452597,0.9917547612279705,0.11949337117618937,0.06432557417499367,0.8393390191897655
94,0.44595762093861896,0.3161121606826782,0.9943946134167141,0.1490663128256578,0.08292425315361811,0.7365671641791045
95,0.5408362547556559,0.27700312932332355,0.8755120807276862,0.01059443608546939,0.00532543101979818,0.9998933901918976
96,0.4682627121607463,0.40224234263102215,0.9960850625355315,0.18032762494234575,0.10478808943300306,0.6460554371002132
97,0.4896388053894043,0.23650014400482178,0.9059113132461626,0.013969588329830635,0.007033929956186994,0.9998933901918976
