,precision,recall,f1-score,support
Closed (0),0.9996596047556336,0.9995331738381966,0.9995963852991073,199463971.0
Open (1),0.7840841634667112,0.8328001201884594,0.8077082474904005,406029.0
accuracy,0.99919446139991,0.99919446139991,0.99919446139991,0.99919446139991
macro avg,0.8918718841111724,0.9161666470133281,0.9036523163947539,199870000.0
weighted avg,0.9992216706942382,0.99919446139991,0.9992065711763959,199870000.0
