epoch,train_loss,val_loss,acc,f1,prec,rec
1,1.8353030893537734,1.0651381015777588,0.9980540314885497,0.04073747427659485,0.0303125,0.0620919216489566
2,1.6787908951441446,1.0304785132408143,0.9977723725463468,0.16025949834601919,0.10696218811626511,0.31942132889514785
3,1.5912928925620184,1.0433426260948182,0.37354024672846237,0.0018935578853179903,0.0009477838368001839,0.8929714505184996
4,1.5283274902237787,1.0826099157333373,0.9980540314885497,0.04073747427659485,0.0303125,0.0620919216489566
5,1.4806353807449342,0.9064947605133057,0.9977723725463468,0.16025949834601919,0.10696218811626511,0.31942132889514785
6,1.4233237902323406,0.9609628319740295,0.9969784282988005,0.12791383889052818,0.07916121374440759,0.3329919344514147
7,1.3114240831798978,0.8636620461940765,0.9977723725463468,0.16025949834601919,0.10696218811626511,0.31942132889514785
8,1.2649350590176052,1.420183527469635,0.9980540314885497,0.04073747427659485,0.0303125,0.0620919216489566
9,1.300976844628652,2.409038615226746,0.0006654682388222465,0.0013300513707012892,0.0006654682388222465,1.0
10,1.3569384164280363,1.3695863842964173,0.0006654682388222465,0.0013300513707012892,0.0006654682388222465,1.0
11,1.2906761659516228,0.8975121021270752,0.9978331175027263,0.16401525111753879,0.11033476318931588,0.31942132889514785
12,1.2785599602593316,1.6942051649093628,0.0006654682388222465,0.0013300513707012892,0.0006654682388222465,1.0
13,1.1715268969535828,0.9304986000061035,0.9978822757633588,0.16718598184072098,0.11322381557451443,0.31942132889514785
14,1.3821405132611593,0.8576103448867798,0.9982395890130862,0.194519159552489,0.1398385831184845,0.31942132889514785
15,1.5231836438179016,1.036649191379547,0.03151112663576881,0.001372354394226589,0.0006866483595600598,1.0
16,1.0624267233742608,0.9627917885780335,0.9980806979280261,0.1813358528962861,0.12660475973004517,0.31942132889514785
17,1.1298468377855089,1.2385486006736754,0.001841943838604144,0.0013316169437047045,0.0006662520681236982,1.0
18,0.9784508996539646,1.1056144952774047,0.02995092693565976,0.0013701501622130792,0.0006855447307185388,1.0
19,0.9933290547794766,0.7792420566082001,0.9646130384405671,0.029777671885000443,0.015165538490821922,0.8160286775060812
