difficulty,n_targets,n_positive,tp,tn,fp,fn,accuracy,precision,recall,f1_score
easy,882000,2264,1589,878171,1565,675,0.9974603174603175,0.5038046924540266,0.7018551236749117,0.58656330749354
medium,2340800,1509,809,2338793,498,700,0.9994882091592618,0.6189747513389442,0.5361166335321405,0.5745738636363636
