sample_id,source_instance_id,difficulty,density,discrete_fraction,constraint_variable_ratio,positive_label_fraction,objective_log_mean,objective_log_std,rhs_log_mean,rhs_log_std,coefficient_log_mean,coefficient_log_std,lower_bound_log_mean,upper_bound_log_mean,fixed_domain_fraction,variable_degree_std,constraint_degree_std,root_lp_mean,root_lp_std,binary_lp_fractionality,mip_gap_relative,execution_time_seconds,pca_component_1,pca_component_2,cluster_id
CFL_easy_instance_0,CFL_easy_instance_0,easy,0.0024968827930174566,0.9226932668329177,0.004987531172069825,0.0025540541391819715,0.052312721222757395,0.08926520660350891,0.3465735912322998,0.3465735912322998,0.5366661548614502,0.3064216375350952,0.0,0.6931471824645996,0.0,0.04987531172069825,13.2534901063833,0.0024969694679380164,0.0498754397257788,3.472315251742288e-06,0.0,398.10509181022644,-1.7488223609280542,-0.28715417255534703,2
CFL_easy_instance_1,CFL_easy_instance_1,easy,0.0024968827930174566,0.9251870324189526,0.004987531172069825,0.0025606469716876745,0.05253148984373866,0.09020226356200631,0.3465735912322998,0.3465735912322998,0.5251383781433105,0.314115047454834,0.0,0.6931471824645996,0.0,0.04987531172069825,13.66125909277765,0.002496768140616337,0.049875410671914,3.2453487524290543e-06,0.0,295.20424485206604,-2.1184039869110247,1.490267288279988,1
CFL_easy_instance_10,CFL_easy_instance_10,easy,0.0024968827930174566,0.9301745635910225,0.004987531172069825,0.0025737264659255743,0.05235914522822308,0.08887533855386744,0.3465735912322998,0.3465735912322998,0.5280342698097229,0.31224602460861206,0.0,0.6931471824645996,0.0,0.04987531172069825,13.56180297748054,0.0024968187228097054,0.04987543353986517,3.282326666733974e-06,0.0,278.388884305954,-1.9673907507389834,1.3813564226384327,1
CFL_easy_instance_11,CFL_easy_instance_11,easy,0.0024968827930174566,0.9027431421446384,0.004987531172069825,0.0025690607726573944,0.0525124510249145,0.0902350672024993,0.3465735912322998,0.3465735912322998,0.5300821661949158,0.31187450885772705,0.0,0.6931471824645996,0.0,0.04987531172069825,14.040833308603874,0.0024968599930399737,0.04987544065483054,3.427782345385083e-06,0.0,452.66460847854614,-1.9730414968622796,-0.5234277632149464,1
CFL_easy_instance_12,CFL_easy_instance_12,easy,0.0024968827930174566,0.9276807980049875,0.004987531172069825,0.002560483757406473,0.05234267931923227,0.08940008249432249,0.3465735912322998,0.3465735912322998,0.531090497970581,0.3086646497249603,0.0,0.6931471824645996,0.0,0.04987531172069825,13.579120000942623,0.0024968641662101525,0.04987542677922138,3.340136156642989e-06,0.0,397.20423460006714,-1.8698022863197763,0.788106070923998,2
CFL_easy_instance_13,CFL_easy_instance_13,easy,0.0024968827930174566,0.8877805486284289,0.004987531172069825,0.00257022469304502,0.052464510755552536,0.09003644194134483,0.3465735912322998,0.3465735912322998,0.5390110611915588,0.3052794933319092,0.0,0.6931471824645996,0.0,0.04987531172069825,13.484713567592008,0.002497013052676173,0.04987543799314801,3.6579610200712185e-06,0.0,70.04688906669617,-1.7048428616419717,-2.6764006590614136,2
CFL_easy_instance_14,CFL_easy_instance_14,easy,0.0024968827930174566,0.9052369077306733,0.004987531172069825,0.002568870550021529,0.052386024783599806,0.08837101187245355,0.3465735912322998,0.3465735912322998,0.5262184739112854,0.3152353763580322,0.0,0.6931471824645996,0.0,0.04987531172069825,14.371760504545016,0.0024967975387494754,0.04987542484010382,3.3493472136076567e-06,0.0,305.9943673610687,-1.9849754570091176,0.18903587136007585,1
CFL_easy_instance_15,CFL_easy_instance_15,easy,0.0024968827930174566,0.9376558603491272,0.004987531172069825,0.002566489391028881,0.05238365510972438,0.08815787068484594,0.3465735912322998,0.3465735912322998,0.5194792747497559,0.31737634539604187,0.0,0.6931471824645996,0.0,0.04987531172069825,13.990264472124892,0.002496668014095305,0.049875395612502114,3.0954086495139952e-06,0.0,324.3743095397949,-2.1548504864458207,3.035879008053769,1
CFL_easy_instance_16,CFL_easy_instance_16,easy,0.0024968827930174566,0.912718204488778,0.004987531172069825,0.002575136721134186,0.05241695580955496,0.08994252032528878,0.3465735912322998,0.3465735912322998,0.5234140157699585,0.3148077130317688,0.0,0.6931471824645996,0.0,0.04987531172069825,13.902427845523961,0.0024967365326364174,0.04987542187134329,3.2550535169491156e-06,0.0,272.60535740852356,-2.0745594684986948,1.0059257073095462,1
CFL_easy_instance_17,CFL_easy_instance_17,easy,0.0024968827930174566,0.8952618453865336,0.004987531172069825,0.002562673995271325,0.05253826066751492,0.08993035355063135,0.3465735912322998,0.3465735912322998,0.5322281122207642,0.3096664845943451,0.0,0.6931471824645996,0.0,0.04987531172069825,12.791110194193466,0.0024968935938801664,0.049875447063348406,3.493958623806985e-06,0.0,320.5771920681,-1.8945522602463043,-1.2740710249072564,2
