sample_id,source_instance_id,difficulty,sampling_strategy,variables,constraints,nonzeros,density,discrete_fraction,positive_label_fraction,right_censored,mip_gap_relative,execution_time_seconds,root_lp_minimum,root_lp_maximum,root_lp_nonzero_fraction
CFL_easy_instance_0,CFL_easy_instance_0,easy,original,160400,800,320400,0.0024968827930174566,0.9226932668329177,0.0025540541391819715,,0.0,398.10509181022644,-0.0,1.0,0.003254364089775561
CFL_easy_instance_1,CFL_easy_instance_1,easy,original,160400,800,320400,0.0024968827930174566,0.9251870324189526,0.0025606469716876745,,0.0,295.20424485206604,-0.0,1.0,0.0032917705735660847
CFL_easy_instance_2,CFL_easy_instance_2,easy,original,160400,800,320400,0.0024968827930174566,0.9177057356608479,0.0025611412711441517,,5.972665213798435e-10,755.8743679523468,-0.0,1.0,0.003254364089775561
CFL_easy_instance_3,CFL_easy_instance_3,easy,original,160400,800,320400,0.0024968827930174566,0.9177057356608479,0.0025611412711441517,,0.0,318.23361229896545,-0.0,1.0,0.003204488778054863
CFL_easy_instance_4,CFL_easy_instance_4,easy,original,160400,800,320400,0.0024968827930174566,0.9052369077306733,0.002568870550021529,,0.0,317.97805094718933,0.0,1.0,0.0032668329177057355
CFL_easy_instance_5,CFL_easy_instance_5,easy,original,160400,800,320400,0.0024968827930174566,0.9152119700748129,0.002568119904026389,,0.0,357.5241873264313,-0.0,1.0,0.003298004987531172
CFL_easy_instance_6,CFL_easy_instance_6,easy,original,160400,800,320400,0.0024968827930174566,0.9077306733167082,0.0025686812587082386,,0.0,206.87973523139954,-0.0,1.0,0.0033042394014962595
CFL_easy_instance_7,CFL_easy_instance_7,easy,original,160400,800,320400,0.0024968827930174566,0.8952618453865336,0.0025696379598230124,,0.0,293.79910588264465,-0.0,1.0,0.0032855361596009977
CFL_easy_instance_8,CFL_easy_instance_8,easy,original,160400,800,320400,0.0024968827930174566,0.9226932668329177,0.002560810884460807,,0.0,400.69857692718506,-0.0,1.0,0.003273067331670823
CFL_easy_instance_9,CFL_easy_instance_9,easy,original,160400,800,320400,0.0024968827930174566,0.9102244389027432,0.0025616437196731567,,0.0,387.74396419525146,-0.0,1.0,0.0032107231920199502
CFL_easy_instance_10,CFL_easy_instance_10,easy,original,160400,800,320400,0.0024968827930174566,0.9301745635910225,0.0025737264659255743,,0.0,278.388884305954,-0.0,1.0,0.0032418952618453864
CFL_easy_instance_11,CFL_easy_instance_11,easy,original,160400,800,320400,0.0024968827930174566,0.9027431421446384,0.0025690607726573944,,0.0,452.66460847854614,-0.0,1.0,0.0032855361596009977
CFL_easy_instance_12,CFL_easy_instance_12,easy,original,160400,800,320400,0.0024968827930174566,0.9276807980049875,0.002560483757406473,,0.0,397.20423460006714,-0.0,1.0,0.0032855361596009977
CFL_easy_instance_13,CFL_easy_instance_13,easy,original,160400,800,320400,0.0024968827930174566,0.8877805486284289,0.00257022469304502,,0.0,70.04688906669617,-0.0,1.0,0.0031920199501246885
CFL_easy_instance_14,CFL_easy_instance_14,easy,original,160400,800,320400,0.0024968827930174566,0.9052369077306733,0.002568870550021529,,0.0,305.9943673610687,-0.0,1.0,0.0033977556109725687
CFL_easy_instance_15,CFL_easy_instance_15,easy,original,160400,800,320400,0.0024968827930174566,0.9376558603491272,0.002566489391028881,,0.0,324.3743095397949,-0.0,1.0,0.0033042394014962595
CFL_easy_instance_16,CFL_easy_instance_16,easy,original,160400,800,320400,0.0024968827930174566,0.912718204488778,0.002575136721134186,,0.0,272.60535740852356,-0.0,1.0,0.0032855361596009977
CFL_easy_instance_17,CFL_easy_instance_17,easy,original,160400,800,320400,0.0024968827930174566,0.8952618453865336,0.002562673995271325,,0.0,320.5771920681,-0.0,1.0,0.0032418952618453864
CFL_easy_instance_18,CFL_easy_instance_18,easy,original,160400,800,320400,0.0024968827930174566,0.9077306733167082,0.0025686812587082386,,0.0,322.97228932380676,-0.0,1.0,0.0032793017456359103
CFL_easy_instance_19,CFL_easy_instance_19,easy,original,160400,800,320400,0.0024968827930174566,0.9052369077306733,0.0025757576804608107,,0.0,299.527615070343,-0.0,1.0,0.003273067331670823
CFL_easy_instance_20,CFL_easy_instance_20,easy,original,160400,800,320400,0.0024968827930174566,0.9177057356608479,0.002574728336185217,,0.0,351.20700550079346,-0.0,1.0,0.003229426433915212
