parent_instance_id,n_targets,n_positive,tp,tn,fp,fn,accuracy,precision,recall,f1_score
CFL_easy_instance_0,148000,378,218,147453,169,160,0.997777027027027,0.5633074935400517,0.5767195767195767,0.5699346405228758
CFL_easy_instance_14,145200,373,275,144597,230,98,0.997741046831956,0.5445544554455446,0.7372654155495979,0.6264236902050114
CFL_easy_instance_27,148800,383,291,148032,385,92,0.9967943548387097,0.43047337278106507,0.7597911227154047,0.5495750708215297
CFL_easy_instance_29,147200,379,283,146469,352,96,0.9969565217391304,0.4456692913385827,0.7467018469656992,0.5581854043392506
CFL_easy_instance_3,147200,377,246,146625,198,131,0.9977649456521739,0.5540540540540541,0.6525198938992043,0.5992691839220464
CFL_easy_instance_6,145600,374,276,144995,231,98,0.9977403846153846,0.5443786982248521,0.7379679144385026,0.626560726447219
CFL_medium_instance_0,1152000,743,401,1150991,266,342,0.9994722222222222,0.6011994002998501,0.5397039030955586,0.5687943262411349
CFL_medium_instance_4,1188800,766,408,1187802,232,358,0.9995037012113055,0.6375,0.5326370757180157,0.5803698435277382
