epoch,train_loss,validation_loss,accuracy,precision,recall,f1_score
1,1.5397951052240704,1.4394093751907349,0.7364650903689032,0.0031763631696588163,0.7175006619009796,0.006324726881489554
2,1.1482607061448304,0.8834889084100723,0.9313118965090369,0.010987582373246067,0.6489277204130263,0.021609278500487116
3,1.0176005489800288,0.2374456636607647,0.9618977469670711,0.02949084916298031,0.9902038655017209,0.05727587368678978
4,0.4318835071247557,0.17631492763757706,0.9587205991582075,0.02749604439032571,0.9984114376489277,0.053518208396014885
5,0.6521632900137616,0.1139485901221633,0.9739818024263431,0.04292236403174206,0.9981466772570824,0.08230542517192448
6,0.45564900460126606,0.30068226205185056,0.9882158331270117,0.0883736559139785,0.9748477627746889,0.16205629277524705
7,0.12131651345154514,0.35052099684253335,0.9936231121564744,0.15090034022072857,0.9629335451416469,0.260913232181929
8,0.13126924832391998,0.2563973404467106,0.9931149418172815,0.1421652200867948,0.971405877680699,0.2480310968396147
9,0.10995304513641674,0.12654576543718576,0.9860875216637781,0.0769862957407902,0.9920571882446386,0.1428843807199512
10,0.13558699563145638,0.1198192611336708,0.9830898737311216,0.06443215099251545,0.9960285941223193,0.12103468245286661
11,0.1607225826010108,0.21180454757995903,0.9919355038375836,0.12508833922261484,0.9841143764892772,0.22196345395915443
12,0.23097873313109513,0.21481569181196392,0.9896595692002971,0.1000350905606392,0.9812020121789781,0.18155986674505192
13,0.22052285846565728,0.13623297261074185,0.9898075018568953,0.1021694637740483,0.9912629070691025,0.1852456583048835
14,0.09727848774713019,0.13204595004208386,0.9926838326318396,0.13622211640599247,0.984643897272968,0.23933329043052962
15,0.09113873259933747,0.2507584160193801,0.9900900594206486,0.10384874326750448,0.9801429706115965,0.1877996195307546
16,0.10933199488436399,0.17310519516468048,0.9914548774449121,0.11902173913043479,0.9857029388403494,0.212396953532818
17,0.08908777888459356,0.11428780201822519,0.9906641495419658,0.110839109275918,0.9949695525549378,0.1994586274613874
18,0.09049790994385662,0.15152911329641938,0.9924139638524387,0.13247545109716757,0.9894095843261848,0.2336647283186394
19,0.09749240490972348,0.11886094533838332,0.9886419905917306,0.09295022378279469,0.9952343129467831,0.17002125831109505
20,0.10081936105194947,0.16990115493535995,0.991624164397128,0.12114014251781473,0.9857029388403494,0.21576354679802956
21,0.0942434338123902,0.1484468625858426,0.9914644714038128,0.11931036688737486,0.9875562615832671,0.21289954337899542
22,0.08998551908070626,0.12682557036168873,0.9902698687794008,0.10662381615994994,0.9925867090283294,0.19256253531254813
23,0.08931878057268003,0.1583993649110198,0.9921465709333993,0.1284618295661747,0.9886153031506487,0.22737790768481306
24,0.11952921677299816,0.12696071295067668,0.9891907031443427,0.09708712748344371,0.9936457505957109,0.1768906275775929
25,0.22166619334450882,0.09908587438985705,0.9899411983164149,0.103738446682301,0.9954990733386285,0.18789665683873868
26,0.09651433427453689,0.17894295998848975,0.991525129982669,0.11989179789392329,0.9857029388403494,0.21378122308354866
27,0.08376770075815528,0.2474641972221434,0.9942900470413468,0.1665681952461028,0.9703468361133174,0.2843289371605896
28,0.08931284606375772,0.14967364678159356,0.9928515721713296,0.13927784623427056,0.9875562615832671,0.2441259244714968
29,0.08027447219533117,0.10682206298224628,0.9887478336221837,0.09390502305870622,0.9973523960815462,0.17164859199854188
30,0.08567668127057992,0.11432325257919729,0.9898635181975737,0.10317721172281567,0.9973523960815462,0.1870082160498424
31,0.08022958756950886,0.15814845054410398,0.9911113518197574,0.115346656797434,0.9902038655017209,0.20662412640534794
32,0.07730782305335869,0.23445324902422726,0.9926612404060411,0.13593864134404676,0.9854381784485041,0.2389190230124852
33,0.09277023810326405,0.12794158211909235,0.9910024139638525,0.11441375525882568,0.9936457505957109,0.20519970474862625
34,0.1635812537582672,0.37774598482064903,0.9929372988363456,0.1398093508851566,0.9785544082605242,0.2446628934564592
35,0.10660460890959138,0.1478951759636402,0.9916857514236197,0.12207817717540759,0.9872915011914217,0.21728869854033736
36,0.10847805341219773,0.12077088817022741,0.989481616736816,0.0997191011235955,0.9962933545141647,0.1812926071351143
37,0.09955886785831788,0.1444332399405539,0.9911955310720475,0.11634633327113267,0.9904686258935663,0.2082324455205811
38,0.07952647984189831,0.15624048467725515,0.9918643228521912,0.12482917236092131,0.9915276674609479,0.22174196222393272
39,0.08466791509367201,0.11343242065049708,0.988973136915078,0.09557908636144334,0.9965581149060101,0.17442884285648083
40,0.07978848058163472,0.3155603096820414,0.9934009036890319,0.1484331169351607,0.9806724913952872,0.25783996380216495
41,0.09627586702370773,0.11820644699037075,0.9902655360237682,0.10691663116034654,0.9965581149060101,0.19311477091991178
42,0.10874312130086448,0.11009467346593738,0.9898817776677395,0.10325714128913646,0.9962933545141647,0.18712083540527102
43,0.0962818382591333,0.10575036588124931,0.9904258479821738,0.10858098175424437,0.9973523960815462,0.19584091499870027
44,0.0766293243707522,0.13554732245393097,0.9909092597177519,0.11327995165432844,0.9925867090283294,0.2033521371230202
45,0.081547059867855,0.1031825807876885,0.989295308244615,0.098258057786586,0.9976171564733916,0.17889614243323443
46,0.09023343733228419,0.1610025130212307,0.9915560782371874,0.1208426078260589,0.9917924278527932,0.21543593282723716
47,0.09362950704424926,0.12020244682207704,0.9902008541718247,0.10630788344251185,0.9968228752978554,0.19212614497486796
48,0.0919485975097379,0.11617991770617664,0.9910073656845754,0.11468113644677479,0.9960285941223193,0.20568054454498236
49,0.0908576862724579,0.11696292995475233,0.9906062763060164,0.11002523918530258,0.9925867090283294,0.19809252067316585
50,0.08820372937328141,0.1086370125412941,0.9910766897746968,0.11542239685658154,0.9954990733386285,0.2068605066982092
51,0.07726533397141358,0.11832494824193418,0.9910562639267145,0.11525974025974026,0.9962933545141647,0.20661633493479753
52,0.07920678688780121,0.15455615357495844,0.9919469546917554,0.1259500908051389,0.9915276674609479,0.22350869863626865
53,0.07705854209463882,0.11710777529515326,0.9912094577865809,0.11701035737613139,0.9960285941223193,0.20941883767535072
54,0.07627512085372987,0.16979432408697903,0.9915387472146571,0.12015991230615469,0.986761980407731,0.21423233890900728
55,0.07917991472894083,0.3207867352757603,0.992097363208715,0.12725279243472898,0.9833200953137411,0.22534356702969993
56,0.088734847675685,0.2579986024647951,0.9920883882149046,0.12743253873251478,0.9864972200158856,0.22570874727404894
57,0.0895515492428904,0.28447828511707485,0.9931508417925229,0.1424731182795699,0.9682287529785544,0.24839531329597556
58,0.08385764811511921,0.11932141543366015,0.9911568457538995,0.11641864925904155,0.9962933545141647,0.2084764542936288
59,0.08141169045120478,0.12769187917001545,0.991015102748205,0.11479210518288033,0.9962933545141647,0.2058646534274304
60,0.07269724055557795,0.3054427474271506,0.9933603614756128,0.1472079192112721,0.9764363251257612,0.25584460631286854
61,0.07691389911443643,0.12973949615843594,0.9911283733597425,0.11585121160672944,0.9936457505957109,0.2075085701647683
62,0.07363542414310834,0.14024285250343382,0.9917064867541471,0.12313787119798317,0.995763833730474,0.21917249417249418
63,0.07735640671023208,0.14932638755999506,0.9910438846249071,0.11497735340923002,0.9947047921630924,0.20612843936027211
64,0.07071709636922764,0.1390618239529431,0.9918148056449616,0.12449067479378541,0.9949695525549378,0.22129313390648922
65,0.08934459361531165,0.5503838853910565,0.9939746843278039,0.1574696586047324,0.9549907333862854,0.2703594048645205
66,0.08396840889168822,0.25627176207490265,0.9918652512998267,0.12429057888762769,0.9857029388403494,0.2207464943227298
67,0.0936375786550343,0.22428110288456082,0.9920766278781876,0.1270888152274203,0.984643897272968,0.22512106537530271
68,0.0793510012369117,0.8165751388296485,0.9946604976479326,0.12711676812396236,0.6081546200688377,0.21028058772371494
69,0.10790934095807049,0.11730191297829151,0.9915245110175787,0.12083641152474867,0.9960285941223193,0.21552563735319394
70,0.07145519623451907,0.14721017121337354,0.9920107080960634,0.12682877269032783,0.9915276674609479,0.2248911574838613
71,0.07955136538847633,0.12898929603397846,0.9911317776677395,0.11579565109957994,0.9925867090283294,0.20739634331867343
72,0.08332806744653246,0.11970968497917056,0.9913366551126517,0.1185976185976186,0.9968228752978554,0.21197533992061482
73,0.06962505857581677,0.15628761239349842,0.99171143847487,0.1227080394922426,0.9904686258935663,0.21836329675461127
74,0.07120088566823499,0.2795199896208942,0.9926671205743997,0.13595320782306708,0.984643897272968,0.23891815495310292
75,0.07218645662879167,0.18553921557031572,0.9903299083931666,0.10723783922903143,0.9928514694201748,0.1935683683477004
76,0.10331633583764019,0.10767109435983002,0.9911243500866551,0.11601801023869734,0.9960285941223193,0.20782808054581112
77,0.07705850945785642,0.23170169908553362,0.9917321738053974,0.1226061204343534,0.9864972200158856,0.21810518921766614
78,0.0886099650727018,0.1078402295242995,0.9910544070314434,0.11526212640862323,0.9965581149060101,0.20662586116981854
79,0.07917887877429956,0.20155151700600982,0.9924891681109186,0.13339058251037642,0.9870267407995764,0.23501970055161547
80,0.09089310928855253,0.12099507683888078,0.9904400841792523,0.10865737132299876,0.9965581149060101,0.19594981519079596
81,0.07759515896601521,0.09899738640524447,0.988493438970042,0.09205930485332552,0.997881916865237,0.1685674672391431
82,0.09254186236016128,0.21782674174755812,0.9935742139143352,0.15101084812623275,0.9729944400317713,0.2614448831501441
83,0.08451643296638908,0.11784026026725769,0.990696335726665,0.11134112080437676,0.9968228752978554,0.20030857629282825
84,0.0747956556227544,0.16608236962929368,0.9918575142361971,0.12473770109582653,0.9915276674609479,0.22159763313609465
85,0.07343163316988427,0.2366691397037357,0.9914233102253033,0.11870778641519052,0.9864972200158856,0.21191525664723446
86,0.10908260433327245,0.1596132554113865,0.991763431542461,0.12303984681918721,0.986761980407731,0.21879769872020666
87,0.08105672150850296,0.15244039916433394,0.9914533300321862,0.11944063088662558,0.9904686258935663,0.2131745398598211
88,0.07153287181711715,0.1354634880553931,0.9916507798960139,0.12217047194085269,0.9931162298120201,0.21757540603248263
89,0.0846605850181178,0.28951524943113327,0.9928005075513741,0.13726731198808637,0.9761715647339158,0.2406893625354963
90,0.12293166580164562,0.1374007728882134,0.990416254023273,0.1084389400921659,0.9968228752978554,0.19559965711613891
91,0.10351560752757866,0.09849639446474612,0.9921345011141371,0.12882530533827363,0.9941752713794016,0.2280941533788914
92,0.07138995085235524,0.13539210427552462,0.991815424610052,0.1240256078548446,0.9899391051098756,0.2204339110953897
93,0.11239945586851757,0.12331865401938558,0.9920664149541966,0.1273272863670463,0.9886153031506487,0.2255988883182793
94,0.07304348102163362,0.11212018807418644,0.9908578856152513,0.11280771889747213,0.9936457505957109,0.20261296766182582
95,0.07401456440920415,0.14641468785703182,0.9921474993810349,0.1284750894577484,0.9886153031506487,0.22739867848116682
96,0.06810569736863607,0.24770622537471354,0.991746719485021,0.12284575081556662,0.9870267407995764,0.2184972453405228
97,0.09372658478905974,0.10859948745928705,0.9912899232483288,0.11767659334107383,0.9928514694201748,0.2104140949388396
98,0.09159529506755264,0.27492860541678965,0.9916176652636791,0.12113133940182054,0.9864972200158856,0.21576859599849435
99,0.08197921273582008,0.11187915550544858,0.9905997771725674,0.1103460400246125,0.9970876356897008,0.19870205244552316
100,0.07385456051839434,0.18802240793593228,0.9921604976479327,0.12845618147969384,0.9864972200158856,0.22731293658298507
